domain,content,symptom,disease_name,source_filename
1,"눈꺼풀속말림(Entropion)의 치료는 원인에 따라 수술을 시행하는 것이 원칙입니다. 일반적으로 만 5세까지는 염증이 발생할 때마다 안약 등 보존적 치료를 통해 관리합니다. 그러나 시력 저하, 만성적인 각막 염증, 각막 혼탁 등의 합병증이 우려되는 경우에는 만 5세 이후에 수술을 고려합니다. 만 5세 이전에 수술을 잘 시행하지 않는 이유는 다음과 같습니다. 첫째, 5세 정도가 되면 소아의 얼굴에서 젖살이 빠지면서 눈꺼풀이 자연스럽게 원래의 위치로 돌아가는 경우가 많기 때문입니다. 둘째, 5세 이전의 소아는 속눈썹이 비교적 얇고 부드러워 각막에 심각한 손상을 일으킬 가능성이 낮기 때문입니다.",시력 저하|만성적인 각막 염증|각막 혼탁,눈꺼풀속말림(Entropion),cid_21001_1.json
1,1. 눈꺼풀속말림과 덧눈꺼풀을 정확히 감별하는 것이 중요합니다. 2. 눈꺼풀속말림은 주로 노인에서 발생하는 경향이 있습니다. 3. 덧눈꺼풀은 주로 소아에서 발생하는 특징이 있습니다.,,,cid_21002_1.json
1,"바깥다래끼(External hordeolum)는 눈꺼풀의 바깥쪽에 발생하는 급성 화농성 염증입니다. 이는 주로 속눈썹 모낭이나 그 주변의 피지선(Zeis선 또는 Moll선)에 세균 감염이 발생하여 생깁니다. 가장 흔한 원인균은 황색포도상구균(Staphylococcus aureus)입니다. 초기에는 국소적인 발적, 부종, 통증이 나타나며, 진행되면 고름이 형성될 수 있습니다. 일반적으로 자가 치유가 가능하지만, 심한 경우 항생제 치료나 외과적 배농이 필요할 수 있습니다.",발적|부종|통증|고름,바깥다래끼,cid_21003_1.json
1,"1. 바깥다래끼(External hordeolum)는 눈꺼풀에 위치한 짜이스선(Zies gland)과 몰선(Moll's gland)의 급성 화농성 염증입니다. 2. 이 염증은 주로 포도알균(Staphylococcus)이 원인으로 작용합니다. 3. 바깥다래끼는 눈꺼풀 표면에 가까운 부위에서 발생하며, 종창(부기), 통증, 그리고 농양(고름집)을 동반합니다. 4. 염증이 진행되면 피부를 통해 고름이 배출됩니다(배농).",종창|통증|배농,바깥다래끼(External hordeolum),cid_21004_1.json
1,"1. 바깥다래끼(External hordeolum)는 초기 단계에서 눈꺼풀 가장자리에 발적(피부가 붉어짐)과 소양감(가려움증)이 나타납니다. 2. 시간이 지나면서 해당 부위가 붓고 통증이 발생합니다. 3. 약 4~5일이 경과하면 통증이 점차 감소하며, 염증 부위에 농양(고름)이 형성됩니다. 4. 이후 농양이 피부를 통해 배출됩니다(배농).",피부가 붉어짐|가려움증|붓고|통증,바깥다래끼(External hordeolum),cid_21005_1.json
1,"1. 바깥다래끼는 대부분 자연적으로 호전되거나 피부 쪽으로 고름이 배출되면서 증상이 개선됩니다. 2. 더운찜질을 시행하면 치유 과정을 더 빠르게 도울 수 있습니다. 3. 눈꺼풀 가장자리에는 항생제 안연고를 도포하여 감염이 주변 속눈썹 뿌리로 확산되는 것을 예방합니다. 4. 만약 농양이 형성되어 고름이 잘 배출되지 않는 경우, 피부를 눈꺼풀 가장자리에 평행하게 절개하여 고름을 배출시킵니다.",눈꺼풀 다래끼,다래끼,cid_21006_1.json
1,"덧눈꺼풀(Epiblepharon)은 성장 과정에서 자연적으로 사라질 수 있는 경우도 있습니다. 그러나 덧눈꺼풀이 지속적으로 남아있고, 이로 인해 각막염이 심하게 발생하는 경우에는 수술적 치료가 필요합니다.",각막염,덧눈꺼풀,cid_21009_1.json
1,"덧눈꺼풀(Epiblepharon)은 눈꺼풀의 구조적 이상으로 인해 발생하는 상태로, 주로 동양 어린이에게서 흔히 관찰됩니다. 이 상태에서는 눈둘레근과 피부가 위쪽으로 밀려 올라가면서 속눈썹이 수직으로 서게 됩니다. 이로 인해 아래를 내려다볼 때 속눈썹이 각막에 닿는 현상이 나타날 수 있습니다. 반면, 선천눈꺼풀속말림(Congenital Entropion)은 드문 질환으로, 눈꺼풀테가 안쪽으로 말려 들어가 있는 상태를 특징으로 합니다. 이로 인해 속눈썹이 항상 각막에 접촉하게 되어 지속적인 자극을 유발합니다.",속눈썹이 각막에 닿는 현상|지속적인 자극,덧눈꺼풀|선천눈꺼풀속말림,cid_21010_1.json
1,"속다래끼는 눈꺼풀의 안쪽에 위치한 마이봄샘(Meibomian gland)에 세균 감염이 발생하여 생기는 염증성 질환입니다. 이 질환은 주로 포도상구균(Staphylococcus)에 의해 발생하며, 감염으로 인해 마이봄샘이 막히고 염증 반응이 유발됩니다. 속다래끼는 눈꺼풀 안쪽에 국한된 부종과 발적을 동반하며, 통증을 유발할 수 있습니다. 감염 부위는 종종 고름이 차오르며, 시간이 지나면서 자연적으로 배출되거나 흡수될 수 있습니다. 치료는 온찜질을 통해 염증을 완화시키고, 필요시 항생제 연고나 경구 항생제를 사용하여 감염을 억제합니다. 심한 경우에는 외과적 절개 및 배농이 필요할 수 있습니다. 속다래끼는 적절한 위생 관리와 치료를 통해 합병증 없이 회복될 수 있는 질환입니다.",부종|발적|통증,속다래끼,cid_21011_1.json
1,"속다래끼는 마이봄샘에서 발생하는 급성 화농성 염증입니다. 이 염증은 바깥다래끼보다 더 깊은 부위에서 발생하며, 눈꺼풀판 결막면에 노란 농양점이 나타나는 것이 특징입니다. 이는 마이봄샘의 감염으로 인해 급성으로 염증 반응이 일어나면서 발생합니다.",,속다래끼|마이봄샘,cid_21012_1.json
